index,importance
0_Spectrogram mean coefficient_18.56Hz,5.471611351401396e-13
0_Spectrogram mean coefficient_25.78Hz,5.402461280726948e-13
0_Spectrogram mean coefficient_22.68Hz,5.319828554644186e-13
0_Spectrogram mean coefficient_26.81Hz,5.20970579673792e-13
0_Spectrogram mean coefficient_24.75Hz,4.774937877132527e-13
0_Spectrogram mean coefficient_27.84Hz,4.756448303217332e-13
0_Spectrogram mean coefficient_30.93Hz,4.691357888556733e-13
0_Spectrogram mean coefficient_28.87Hz,4.531612146735153e-13
0_Spectrogram mean coefficient_23.72Hz,4.349422627987098e-13
0_Spectrogram mean coefficient_29.9Hz,4.2162572431232175e-13
0_Spectrogram mean coefficient_31.97Hz,2.5383387842513384e-13
0_Wavelet absolute mean_1.78Hz,1.8195567995772052e-13
0_Wavelet absolute mean_2.0Hz,1.5215403318538717e-13
0_Wavelet absolute mean_2.28Hz,1.2437483037029944e-13
0_Wavelet absolute mean_2.66Hz,9.840301473406735e-14
0_Wavelet absolute mean_3.2Hz,7.460986759245515e-14
0_Wavelet absolute mean_4.0Hz,5.297657605926921e-14
value_diffmedian,4.7662560497831155e-14
0_Median diff,4.2593293066115125e-14
0_Fundamental frequency,3.8717273297441225e-14
0_Wavelet absolute mean_5.33Hz,3.4106258662893265e-14
value_diffqmean,3.060174348359653e-14
0_Wavelet absolute mean_7.99Hz,1.829063541108371e-14
0_Mean diff,1.0079399352417488e-14
value_diffmean,1.007939935240851e-14
0_Wavelet absolute mean_15.98Hz,6.0211709259673255e-15
0_Slope,4.185312663159993e-15
0_Spectral slope,7.950008072344698e-17
